Index,Layer,Type,Height,Width,Channels,Mean,Std,Min,Max,Active %
1,block1_conv1,Conv2D,224,224,64,18.632986068725586,40.333641052246094,0.0,916.3609008789062,51.75812390385842
2,block1_conv2,Conv2D,224,224,64,102.34036254882812,167.72254943847656,0.0,3206.961669921875,68.76877765266262
3,block1_pool,MaxPooling2D,112,112,64,131.15890502929688,194.44589233398438,0.0,3206.961669921875,79.66333506058673
4,block2_conv1,Conv2D,112,112,128,169.75486755371094,249.5335693359375,0.0,5532.93603515625,67.20985879703444
5,block2_conv2,Conv2D,112,112,128,190.82650756835938,410.6597595214844,0.0,11024.509765625,48.73968630420919
6,block2_pool,MaxPooling2D,56,56,128,318.104736328125,544.8023071289062,0.0,11024.509765625,68.25424505739795
7,block3_conv1,Conv2D,56,56,256,260.47833251953125,487.7591857910156,0.0,13118.8271484375,53.5698092713648
8,block3_conv2,Conv2D,56,56,256,289.0882263183594,484.54974365234375,0.0,10106.44140625,51.81162308673469
9,block3_conv3,Conv2D,56,56,256,196.37579345703125,467.4073181152344,0.0,10981.375,31.322743941326532
10,block3_pool,MaxPooling2D,28,28,256,356.5958557128906,630.2718505859375,0.0,10981.375,49.2805325255102
11,block4_conv1,Conv2D,28,28,512,165.1865997314453,359.1108093261719,0.0,6777.3828125,34.61415816326531
12,block4_conv2,Conv2D,28,28,512,101.88176727294922,231.6707763671875,0.0,3582.768798828125,31.314522879464285
13,block4_conv3,Conv2D,28,28,512,26.676666259765625,103.59989929199219,0.0,2341.6640625,13.451401068239797
14,block4_pool,MaxPooling2D,14,14,512,56.844356536865234,151.461181640625,0.0,2341.6640625,25.93570631377551
15,block5_conv1,Conv2D,14,14,512,29.7980899810791,84.10831451416016,0.0,2084.040771484375,24.4319993622449
16,block5_conv2,Conv2D,14,14,512,13.965367317199707,45.19489288330078,0.0,789.9998168945312,20.336415816326532
17,block5_conv3,Conv2D,14,14,512,0.7561907768249512,6.560036659240723,0.0,287.96636962890625,3.313337053571429
18,block5_pool,MaxPooling2D,7,7,512,1.4794671535491943,9.230664253234863,0.0,287.96636962890625,6.289859693877552
